,county,2019,2022,number,sqft_per_job_factor,name
0,Alameda,381.2425764316236,449.6645794714183,15,1.1794710435550375,Tri Valley
1,Alameda,381.2425764316236,449.6645794714183,16,1.1794710435550375,Fremont
2,Alameda,381.2425764316236,449.6645794714183,17,1.1794710435550375,S Leandro Hayward
3,Alameda,381.2425764316236,449.6645794714183,18,1.1794710435550375,Oakland Alameda
4,Alameda,381.2425764316236,449.6645794714183,19,1.1794710435550375,Berkeley Eville
5,Contra Costa,386.43900736414673,422.246775355202,20,1.0926608528349548,Richmond Pinole
6,Contra Costa,386.43900736414673,422.246775355202,21,1.0926608528349548,Martinez Concord
7,Contra Costa,386.43900736414673,422.246775355202,22,1.0926608528349548,Lamorinda WC
8,Contra Costa,386.43900736414673,422.246775355202,23,1.0926608528349548,S Ramon Danville
9,Contra Costa,386.43900736414673,422.246775355202,24,1.0926608528349548,East Contra Costa
10,Marin,415.8909732662265,487.9412506689091,32,1.173243186397702,Northern Marin
11,Marin,415.8909732662265,487.9412506689091,33,1.173243186397702,Central Marin
12,Marin,415.8909732662265,487.9412506689091,34,1.173243186397702,Southern Marin
13,Napa,212.67007998061075,234.48651535380506,27,1.1025834728382258,Napa City and S
14,Napa,212.67007998061075,234.48651535380506,28,1.1025834728382258,Napa Remainder
15,San Francisco,173.9663390089002,299.0012515178725,1,1.7187304924694395,SF NE
16,San Francisco,173.9663390089002,299.0012515178725,2,1.7187304924694395,SF NW
17,San Francisco,173.9663390089002,299.0012515178725,3,1.7187304924694395,SF S SE
18,San Francisco,173.9663390089002,299.0012515178725,4,1.7187304924694395,SF SW
19,San Mateo,382.7077128961713,508.6910605886127,5,1.3291894661308294,Daly City Millbrae
20,San Mateo,382.7077128961713,508.6910605886127,6,1.3291894661308294,San Mateo
21,San Mateo,382.7077128961713,508.6910605886127,7,1.3291894661308294,Redwood City
22,Santa Clara,362.2216946038259,506.53655887178076,8,1.3984158497899937,Palo Alto
23,Santa Clara,362.2216946038259,506.53655887178076,9,1.3984158497899937,Golden Triangle
24,Santa Clara,362.2216946038259,506.53655887178076,10,1.3984158497899937,West San Jose
25,Santa Clara,362.2216946038259,506.53655887178076,11,1.3984158497899937,San Jose CBD
26,Santa Clara,362.2216946038259,506.53655887178076,12,1.3984158497899937,East San Jose
27,Santa Clara,362.2216946038259,506.53655887178076,13,1.3984158497899937,South San Jose
28,Santa Clara,362.2216946038259,506.53655887178076,14,1.3984158497899937,SE Snta Clara Cnty
29,Solano,287.47803289924605,315.60881521943867,25,1.0978536761104518,Vallejo Benicia
30,Solano,287.47803289924605,315.60881521943867,26,1.0978536761104518,Solano Remainder
31,Sonoma,336.30858573421983,370.4078170591029,29,1.1013926874642186,Southern Sonoma
32,Sonoma,336.30858573421983,370.4078170591029,30,1.1013926874642186,Santa Rosa Area
33,Sonoma,336.30858573421983,370.4078170591029,31,1.1013926874642186,Northern Sonoma
