number,name,sqft_per_job_factor_2015,sqft_per_job_factor_2020,sqft_per_job_factor_2025,sqft_per_job_factor_2030,sqft_per_job_factor_2035,sqft_per_job_factor_2040,sqft_per_job_factor_2045,sqft_per_job_factor_2050
1,SF NE,1.17985,1.14761,1.11537,1.08313,1.0509,1.01866,0.98642,0.95419
2,SF NW,1.02294,1.015,1.00705,0.99911,0.99116,0.98321,0.97527,0.96732
3,SF S SE,1.3918,1.32909,1.26639,1.20369,1.14098,1.07828,1.01558,0.95287
4,SF SW,1.60392,1.51326,1.42259,1.33193,1.24127,1.15061,1.05994,0.96928
5,Daly City Millbrae,0.96933,0.96933,0.96933,0.96933,0.96933,0.96933,0.96933,0.96933
6,San Mateo,0.91995,0.91995,0.91995,0.91995,0.91995,0.91995,0.91995,0.91995
7,Redwood City,0.96933,0.96933,0.96933,0.96933,0.96933,0.96933,0.96933,0.96933
8,Palo Alto,0.92032,0.92032,0.92032,0.92032,0.92032,0.92032,0.92032,0.92032
9,Golden Triangle,0.89362,0.89362,0.89362,0.89362,0.89362,0.89362,0.89362,0.89362
10,West San Jose,0.92032,0.92032,0.92032,0.92032,0.92032,0.92032,0.92032,0.92032
11,San Jose CBD,0.8536,0.8536,0.8536,0.8536,0.8536,0.8536,0.8536,0.8536
12,East San Jose,0.9227,0.9227,0.9227,0.9227,0.9227,0.9227,0.9227,0.9227
13,South San Jose,0.96124,0.95348,0.94571,0.93795,0.93019,0.92243,0.91466,0.9069
14,SE Snta Clara Cnty,1.063,1.063,1.063,1.063,1.063,1.063,1.063,1.063
15,Tri Valley,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031
16,Fremont,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
17,S Leandro Hayward,0.96809,0.96751,0.96693,0.96634,0.96576,0.96518,0.9646,0.96402
18,Oakland Alameda,0.90824,0.90791,0.90758,0.90725,0.90691,0.90658,0.90625,0.90592
19,Berkeley Eville,0.9818,0.9818,0.9818,0.9818,0.9818,0.9818,0.9818,0.9818
20,Richmond Pinole,0.96733,0.96733,0.96733,0.96733,0.96733,0.96733,0.96733,0.96733
21,Martinez Concord,0.96733,0.96733,0.96733,0.96733,0.96733,0.96733,0.96733,0.96733
22,Lamorinda WC,0.968,0.968,0.968,0.968,0.968,0.968,0.968,0.968
23,S Ramon Danville,0.96867,0.96867,0.96867,0.96867,0.96867,0.96867,0.96867,0.96867
24,East Contra Costa,1.063,1.063,1.063,1.063,1.063,1.063,1.063,1.063
25,Vallejo Benicia,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031
26,Solano Remainder,1.063,1.063,1.063,1.063,1.063,1.063,1.063,1.063
27,Napa City and S,0.96367,0.96367,0.96367,0.96367,0.96367,0.96367,0.96367,0.96367
28,Napa Remainder,1,1,1,1,1,1,1,1
29,Southern Sonoma,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965
30,Santa Rosa Area,0.96333,0.96333,0.96333,0.96333,0.96333,0.96333,0.96333,0.96333
31,Northern Sonoma,0.96133,0.96133,0.96133,0.96133,0.96133,0.96133,0.96133,0.96133
32,Northern Marin,1.063,1.063,1.063,1.063,1.063,1.063,1.063,1.063
33,Central Marin,0.96767,0.96767,0.96767,0.96767,0.96767,0.96767,0.96767,0.96767
34,Southern Marin,0.96767,0.96767,0.96767,0.96767,0.96767,0.96767,0.96767,0.96767
